Year,Month,Number of Households,Median Income (dollars),Zip Code
2015,6,11310,129341.0,75013
2015,7,11342,129263.66666666667,75013
2015,8,11374,129186.33333333333,75013
2015,9,11406,129109.0,75013
2015,10,11438,129031.66666666667,75013
2015,11,11470,128954.33333333333,75013
2015,12,11503,128877.0,75013
2016,1,11557,128304.75,75013
2016,2,11611,127732.5,75013
2016,3,11665,127160.25,75013
2016,4,11719,126588.0,75013
2016,5,11773,126015.75,75013
2016,6,11827,125443.5,75013
2016,7,11881,124871.25,75013
2016,8,11935,124299.0,75013
2016,9,11989,123726.75,75013
2016,10,12043,123154.5,75013
2016,11,12097,122582.25,75013
2016,12,12151,122010.0,75013
2011,1,13641,106981.0,75019
2011,2,13641,106981.0,75019
2011,3,13641,106981.0,75019
2011,4,13641,106981.0,75019
2011,5,13641,106981.0,75019
2011,6,13641,106981.0,75019
2011,7,13641,106981.0,75019
2011,8,13641,106981.0,75019
2011,9,13641,106981.0,75019
2011,10,13641,106981.0,75019
2011,11,13641,106981.0,75019
2011,12,13641,106981.0,75019
2012,1,13676,106973.16666666667,75019
2012,2,13711,106965.33333333333,75019
2012,3,13746,106957.5,75019
2012,4,13782,106949.66666666667,75019
2012,5,13817,106941.83333333333,75019
2012,6,13852,106934.0,75019
2012,7,13887,106926.16666666667,75019
2012,8,13923,106918.33333333333,75019
2012,9,13958,106910.5,75019
2012,10,13993,106902.66666666667,75019
2012,11,14028,106894.83333333333,75019
2012,12,14064,106887.0,75019
2013,1,14063,107183.5,75019
2013,2,14062,107480.0,75019
2013,3,14062,107776.5,75019
2013,4,14061,108073.0,75019
2013,5,14060,108369.5,75019
2013,6,14060,108666.0,75019
2013,7,14059,108962.5,75019
2013,8,14058,109259.0,75019
2013,9,14058,109555.5,75019
2013,10,14057,109852.0,75019
2013,11,14056,110148.5,75019
2013,12,14056,110445.0,75019
2014,1,14077,110518.33333333333,75019
2014,2,14098,110591.66666666667,75019
2014,3,14119,110665.0,75019
2014,4,14140,110738.33333333333,75019
2014,5,14161,110811.66666666667,75019
2014,6,14182,110885.0,75019
2014,7,14203,110958.33333333333,75019
2014,8,14224,111031.66666666667,75019
2014,9,14245,111105.0,75019
2014,10,14266,111178.33333333333,75019
2014,11,14287,111251.66666666667,75019
2014,12,14309,111325.0,75019
2015,1,14335,111361.16666666667,75019
2015,2,14362,111397.33333333333,75019
2015,3,14388,111433.5,75019
2015,4,14415,111469.66666666667,75019
2015,5,14441,111505.83333333333,75019
2015,6,14468,111542.0,75019
2015,7,14495,111578.16666666667,75019
2015,8,14521,111614.33333333333,75019
2015,9,14548,111650.5,75019
2015,10,14574,111686.66666666667,75019
2015,11,14601,111722.83333333333,75019
2015,12,14628,111759.0,75019
2016,1,14649,111999.25,75019
2016,2,14670,112239.5,75019
2016,3,14691,112479.75,75019
2016,4,14713,112720.0,75019
2016,5,14734,112960.25,75019
2016,6,14755,113200.5,75019
2016,7,14776,113440.75,75019
2016,8,14798,113681.0,75019
2016,9,14819,113921.25,75019
2016,10,14840,114161.5,75019
2016,11,14861,114401.75,75019
2016,12,14883,114642.0,75019
2011,1,8945,41177.0,75020
2011,2,8945,41177.0,75020
2011,3,8945,41177.0,75020
2011,4,8945,41177.0,75020
2011,5,8945,41177.0,75020
2011,6,8945,41177.0,75020
2011,7,8945,41177.0,75020
2011,8,8945,41177.0,75020
2011,9,8945,41177.0,75020
2011,10,8945,41177.0,75020
2011,11,8945,41177.0,75020
2011,12,8945,41177.0,75020
2012,1,8942,41061.833333333336,75020
2012,2,8940,40946.666666666664,75020
2012,3,8938,40831.5,75020
2012,4,8935,40716.333333333336,75020
2012,5,8933,40601.166666666664,75020
2012,6,8931,40486.0,75020
2012,7,8928,40370.833333333336,75020
2012,8,8926,40255.666666666664,75020
2012,9,8924,40140.5,75020
2012,10,8921,40025.333333333336,75020
2012,11,8919,39910.166666666664,75020
2012,12,8917,39795.0,75020
2013,1,8910,39895.333333333336,75020
2013,2,8903,39995.666666666664,75020
2013,3,8896,40096.0,75020
2013,4,8889,40196.333333333336,75020
2013,5,8882,40296.666666666664,75020
2013,6,8876,40397.0,75020
2013,7,8869,40497.333333333336,75020
2013,8,8862,40597.666666666664,75020
