,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
672,78701,2015,7,0,1,0,225000
673,78701,2015,10,0,1,0,12000
674,78701,2016,1,0,1,0,2250
675,78701,2016,6,0,1,0,10000
676,78701,2016,7,0,2,0,10000
677,78701,2016,10,0,1,0,3000
678,78701,2016,11,0,1,0,80000
679,78701,2016,12,0,2,0,30500
680,78701,2017,2,0,2,0,500000
681,78701,2017,8,0,1,0,31000
682,78701,2017,10,0,3,0,126700
683,78701,2017,11,0,1,0,750000
684,78701,2017,12,0,1,0,16280
685,78701,2018,1,0,1,0,10000
686,78701,2018,4,0,4,0,28000
687,78701,2018,5,4,2,665000,102500
688,78702,1996,1,1,9,50000,81800
689,78702,1996,2,6,7,887650,71000
690,78702,1996,3,0,8,0,49402
691,78702,1996,4,5,13,692350,106290
692,78702,1996,5,1,10,52700,134954
693,78702,1996,6,4,12,158550,49968
694,78702,1996,7,2,7,378400,39900
695,78702,1996,8,1,9,56400,58150
696,78702,1996,9,1,8,40000,72644
697,78702,1996,10,4,8,224600,29123
698,78702,1996,11,1,7,80000,24768
699,78702,1996,12,1,3,59600,55000
700,78702,1997,1,3,6,163800,109500
701,78702,1997,2,0,9,0,35000
